"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2020","17.539","18.150","18.195","17.505","4.06K","-3.30%"
"01/27/2020","18.138","18.320","18.430","18.130","2.79K","-0.31%"
"01/24/2020","18.194","17.900","18.220","17.830","3.38K","1.58%"
"01/23/2020","17.911","17.980","17.985","17.680","2.46K","0.00%"
"01/22/2020","17.911","17.870","18.005","17.765","2.51K","0.11%"
"01/21/2020","17.892","18.145","18.235","17.710","3.59K","0.47%"
"01/20/2020","17.808","18.040","18.155","17.620","135.96K","-1.93%"
"01/17/2020","18.158","18.045","18.250","18.005","1.03K","0.74%"
"01/16/2020","18.024","18.100","18.125","17.960","1.59K","-0.27%"
"01/15/2020","18.072","17.885","18.135","17.835","1.38K","1.37%"
"01/14/2020","17.827","18.040","18.040","17.785","4.56K","-1.42%"
"01/13/2020","18.084","18.175","18.200","18.025","1.79K","-0.60%"
"01/10/2020","18.193","17.995","18.255","17.960","5.26K","0.93%"
"01/09/2020","18.025","18.240","18.305","17.910","2.66K","-1.27%"
"01/08/2020","18.256","18.505","18.965","18.175","3.17K","-1.21%"
"01/07/2020","18.480","18.265","18.540","18.065","1.89K","1.17%"
"01/06/2020","18.267","18.245","18.640","18.140","3.76K","0.15%"
"01/03/2020","18.240","18.155","18.395","18.135","2.60K","0.58%"
"01/02/2020","18.134","18.010","18.230","17.920","3.84K","0.69%"
"12/31/2019","18.009","18.070","18.275","17.970","3.24K","-0.44%"
"12/30/2019","18.089","17.945","18.100","17.925","0.87K","0.81%"
"12/27/2019","17.943","17.995","18.050","17.815","70.18K","-0.26%"
"12/26/2019","17.990","17.830","18.135","17.810","89.08K","0.77%"
"12/24/2019","17.853","17.515","17.865","17.425","64.68K","2.02%"
"12/23/2019","17.499","17.230","17.520","17.230","65.08K","1.60%"
"12/20/2019","17.224","17.115","17.315","17.080","65.65K","0.41%"
"12/19/2019","17.154","17.065","17.180","16.950","47.39K","0.62%"
"12/18/2019","17.049","17.060","17.125","16.935","47.19K","-0.13%"
"12/17/2019","17.072","17.105","17.170","17.015","45.74K","-0.24%"
"12/16/2019","17.113","17.005","17.140","16.955","48.65K","0.59%"
"12/13/2019","17.012","16.970","17.095","16.895","77.90K","0.37%"
"12/12/2019","16.949","16.930","17.185","16.820","113.42K","0.59%"
"12/11/2019","16.849","16.710","17.025","16.650","62.67K","0.88%"
"12/10/2019","16.702","16.655","16.770","16.625","50.20K","0.36%"
"12/09/2019","16.642","16.600","16.730","16.565","53.51K","0.28%"
"12/06/2019","16.596","17.020","17.125","16.575","110.18K","-2.71%"
"12/05/2019","17.059","16.920","17.075","16.870","69.27K","0.85%"
"12/04/2019","16.916","17.250","17.415","16.865","112.99K","-1.92%"
"12/03/2019","17.248","16.980","17.285","16.945","90.11K","1.66%"
"12/02/2019","16.966","17.070","17.100","16.895","71.95K","-0.82%"
"11/29/2019","17.106","17.060","17.125","16.935","69.20K","0.00%"
"11/28/2019","17.106","17.060","17.125","16.935","69.20K","0.30%"
"11/27/2019","17.055","17.190","17.200","17.025","61.62K","-0.77%"
"11/26/2019","17.188","16.820","17.225","16.820","56.28K","0.93%"
"11/25/2019","17.030","17.100","17.115","16.965","33.56K","-0.68%"
"11/22/2019","17.147","17.220","17.355","17.100","25.74K","-0.37%"
"11/21/2019","17.211","17.280","17.310","17.155","30.87K","-0.29%"
"11/20/2019","17.261","17.275","17.325","17.150","23.13K","-0.02%"
"11/19/2019","17.265","17.145","17.300","17.080","21.16K","0.71%"
"11/18/2019","17.143","17.095","17.170","16.850","17.15K","0.30%"
"11/15/2019","17.092","17.135","17.150","16.920","8.56K","-0.47%"
"11/14/2019","17.172","17.080","17.225","16.995","11.07K","0.67%"
"11/13/2019","17.057","16.910","17.140","16.910","19.63K","1.32%"
"11/12/2019","16.835","16.960","17.000","16.760","16.71K","-0.67%"
"11/11/2019","16.948","16.925","17.050","16.780","15.25K","-0.12%"
"11/08/2019","16.969","17.225","17.235","16.805","15.47K","-1.10%"
"11/07/2019","17.157","17.760","17.790","17.055","20.21K","-3.34%"
"11/06/2019","17.749","17.715","17.780","17.520","6.85K","0.17%"
"11/05/2019","17.718","18.205","18.235","17.670","7.72K","-2.76%"
"11/04/2019","18.220","18.250","18.380","18.115","3.10K","0.08%"
"11/01/2019","18.206","18.230","18.295","18.095","8.12K","-0.08%"
"10/31/2019","18.220","18.005","18.335","17.960","2.91K","1.11%"
"10/30/2019","18.020","17.970","18.115","17.740","2.20K","0.75%"
"10/29/2019","17.886","17.900","17.900","17.680","0.10K","-0.25%"
"10/28/2019","17.930","18.080","18.120","17.890","0.11K","-0.26%"
"10/25/2019","17.977","17.875","18.365","17.860","0.27K","0.68%"
"10/24/2019","17.855","17.610","17.900","17.575","0.09K","1.27%"
"10/23/2019","17.631","17.625","17.630","17.595","0.01K","0.46%"
"10/22/2019","17.550","17.710","17.710","17.515","0.07K","-0.58%"
"10/21/2019","17.652","17.640","17.820","17.625","0.05K","0.14%"
"10/18/2019","17.628","17.500","17.665","17.485","0.17K","-0.20%"
"10/17/2019","17.663","17.445","17.675","17.395","0.07K","1.06%"
"10/16/2019","17.478","17.450","17.480","17.260","0.05K","0.25%"
"10/15/2019","17.434","17.715","17.715","17.465","0.01K","-1.84%"
"10/14/2019","17.760","17.600","17.730","17.600","0.01K","0.94%"
"10/11/2019","17.594","17.580","17.810","17.465","0.01K","-0.33%"
"10/10/2019","17.652","17.950","17.950","17.545","0.03K","-1.16%"
"10/09/2019","17.860","17.855","18.000","17.810","0.05K","0.63%"
"10/08/2019","17.748","17.555","17.870","17.505","0.10K","0.91%"
"10/07/2019","17.588","17.580","17.655","17.535","0.04K","-0.48%"
"10/04/2019","17.673","17.685","17.685","17.400","0.03K","-0.29%"
"10/03/2019","17.725","17.685","17.800","17.670","0.04K","-0.03%"
"10/02/2019","17.731","17.365","17.765","17.365","0.11K","2.21%"
"10/01/2019","17.348","17.020","17.395","17.020","0.09K","1.77%"
"09/30/2019","17.046","17.675","17.675","17.070","0.17K","-3.71%"
"09/27/2019","17.703","17.800","17.800","17.410","0.05K","-1.17%"
"09/26/2019","17.912","17.990","18.110","17.785","110.04K","-0.89%"
"09/25/2019","18.073","18.680","18.750","17.875","132.58K","-2.98%"
"09/24/2019","18.628","18.655","18.810","18.315","132.63K","-0.44%"
"09/23/2019","18.711","18.030","18.780","17.990","129.34K","4.83%"
"09/20/2019","17.849","17.870","18.060","17.810","59.13K","-0.20%"
"09/19/2019","17.884","17.845","18.015","17.655","65.97K","-0.20%"
"09/18/2019","17.919","18.095","18.120","17.580","100.53K","-1.22%"
"09/17/2019","18.140","17.925","18.170","17.820","88.43K","0.63%"
"09/16/2019","18.026","17.755","18.075","17.690","108.43K","2.60%"
"09/13/2019","17.569","18.155","18.265","17.470","106.47K","-3.34%"
"09/12/2019","18.177","18.200","18.555","18.085","99.70K","0.04%"
"09/11/2019","18.170","18.095","18.335","17.970","84.66K","-0.09%"
"09/10/2019","18.186","18.090","18.265","17.855","116.63K","0.10%"
"09/09/2019","18.167","18.215","18.400","18.015","135.35K","0.26%"
"09/06/2019","18.119","18.715","18.890","18.045","221.80K","-3.66%"
"09/05/2019","18.807","19.645","19.675","18.570","194.13K","-3.79%"
"09/04/2019","19.547","19.350","19.750","19.280","156.69K","1.61%"
"09/03/2019","19.237","18.520","19.395","18.365","199.68K","0.00%"
"09/02/2019","19.237","18.520","19.395","18.365","199.68K","4.88%"
"08/30/2019","18.342","18.365","18.575","18.165","115.42K","0.10%"
"08/29/2019","18.323","18.450","18.760","18.150","161.56K","-0.72%"
"08/28/2019","18.456","18.295","18.620","18.170","103.11K","0.86%"
"08/27/2019","18.298","17.780","18.330","17.755","71.09K","2.88%"
"08/26/2019","17.785","17.650","17.900","17.640","58.66K","1.32%"
"08/23/2019","17.554","17.180","17.605","17.105","53.31K","2.19%"
"08/22/2019","17.178","17.250","17.265","17.055","30.15K","-0.65%"
"08/21/2019","17.290","17.265","17.315","17.115","27.09K","0.02%"
"08/20/2019","17.286","16.985","17.310","16.970","24.46K","1.23%"
"08/19/2019","17.076","17.260","17.260","16.960","24.25K","-1.08%"
"08/16/2019","17.263","17.385","17.455","17.165","9.98K","-0.52%"
"08/15/2019","17.353","17.310","17.510","17.215","13.26K","-0.40%"
"08/14/2019","17.422","17.100","17.450","17.000","13.44K","1.73%"
"08/13/2019","17.125","17.200","17.625","16.650","31.54K","-0.48%"
"08/12/2019","17.208","17.090","17.290","16.940","18.50K","0.81%"
"08/09/2019","17.069","17.150","17.270","17.000","16.58K","-0.01%"
